Entity,Type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2004/02/skos/core#prefLabel,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000094,Class,"'Photon'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000095,Class,"'Electron excitation'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001000,Class,,"'thermal annealing'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001003,Class,,"'total area'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001004,Class,,"'active area'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001006,Class,"'dispensing'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001009,Class,,"'roughness'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001011,Class,,"'relative humidity'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001012,Class,"'atmosphere'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001014,Class,,"'Minimal cell bending radius'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001016,Class,,"'Maximal semi transparent wavelength'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001017,Class,,"'Minimal semi transparent wavelength'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001018,Class,"'solar cell stack sequence'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001020,Class,,"'solar cell architecture'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001022,Class,,"'Is flexible'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001023,Class,,"'Is semitransparent'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001024,Class,,"'transmittance'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001025,Class,,"'Average visible transmittance'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001026,Class,"'solar module'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001030,Class,,"'Pipetting'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001031,Class,,"'Solution aspiration'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001033,Class,,"'annealing'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001034,Class,,"'open circuit voltage'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001035,Class,,"'Photoluminescence (PL) imaging'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001037,Class,"'photovoltaic device efficiency'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001040,Class,,"'Mechanical etching'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001041,Class,,"'Laser etching'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001042,Class,,"'solvent cleaning'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001043,Class,"'uv cleaning'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001044,Class,,"'plasma cleaning'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001045,Class,,"'solution manufacturing'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001046,Class,"'shaking'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001047,Class,,"'purity'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001050,Class,,"'solvent annealing'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001052,Class,,"'anti solvent quenching'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001053,Class,"'ultrasonic'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001054,Class,,"'soap cleaning'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001055,Class,"'utrasonic bath'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001056,Class,,"'Additive'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001057,Class,,"'Chemical bath deposition'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001061,Class,"'device temperature'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001062,Class,,"'time range'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001063,Class,,"'process time'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001064,Class,,"'temperature quality of a process'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001065,Class,"'partial pressure'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001066,Class,,"'perovscite boolean quality'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001067,Class,,"'Is single crystal'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001068,Class,,"'Is zero dimensional'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001069,Class,,"'Is two dimensional'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001070,Class,,"'Is 2D/3D mixture'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001071,Class,,"'Is three dimensional'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001072,Class,,"'Is 3D with 2D capping layer'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001073,Class,,"'Has ABC3 structure'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001074,Class,,"'Has perovscite inspired structure'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001075,Class,,"'Ratio'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001076,Class,,"'Mixing ratio'",
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00001077,Class,"'gas quenching'",,
